,SubjectID,cohort,age,gender,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm,composite1,wasi.matr.tf,ppvt.tf,wj3.rcomp.tf,age.c,Pred,stdPred,resid,CI_group
1,1,a197,21.28,Female,48,216,47,25,125,29,74,42,31,90,56,148.57,77.73,36.52,0.804159927,1.084522427,0.99823297,0.934593585,1.424942966,0.890159128,1.087947745,0.044434457,EAC
2,3,a197,24.38,Male,38,220,43,24,112,32,75,39,31,86,56,112,81.33,29.33,0.875071596,0.726444066,1.392534331,0.128943857,4.524942966,1.163024104,1.429293336,-1.034080247,UPC
3,11,a197,19.05,Female,57,214,45,26,129,31,74,41,29,93,56,148.57,81.33,27.67,1.187517365,1.466461809,0.814466416,0.656819093,-0.805057034,0.828535749,1.010858816,-0.171716656,NSC
4,12,a197,20.01,Female,47,200,41,20,97,28,69,43,29,94,52,147.14,80,21,0.336288419,-0.479893109,-0.251504124,1.221716636,0.154942966,-0.159027113,-0.224551584,1.380743749,UGC
5,15,a197,19.57,Male,19,180,28,17,81,31,68,33,14,65,46,106.67,74.67,14,-0.047650819,-1.165620368,-1.244365245,-1.240230528,-0.285057034,-0.901419821,-1.153261753,-0.338810707,EPC
6,17,a197,19.71,Male,10,198,33,25,105,27,60,38,22,70,48,117.33,64,17.67,-0.954319557,1.084522427,-0.375794034,-0.121346107,-0.145057034,-0.195682205,-0.270405963,0.074336098,EAC
7,19,a197,25.36,Male,39,207,41,21,103,29,73,40,30,NA,NA,113.33,77.33,22.67,0.133218467,-0.210920598,0.236033425,0.388300498,5.504942966,0.278472094,0.322746305,0.109828405,EAC
8,21,a197,20.3,Male,34,201,34,21,95,28,70,34,27,88,54,105.33,77.33,21,-0.327696826,-0.210920598,-0.186958519,-1.033794334,0.444942966,-0.165533548,-0.232690932,-0.868260785,UPC
9,22,a197,18.16,Male,21,177,30,9,72,21,61,29,25,80,48,101.33,44,14.33,-1.831427318,-2.229631064,-1.351999042,-1.982409255,-1.695057034,-1.391147493,-1.765895827,-0.591261762,EPC
10,23,a197,16.85,Female,38,187,35,20,91,22,67,35,28,86,52,126.67,72,28.33,-0.682345568,-0.479893109,-0.95530382,-0.818789783,-3.005057034,-0.793200233,-1.017882416,-0.025589551,EPC
11,24,a197,24.85,Male,44,195,39,20,100,32,75,36,23,87,54,141.82,96.32,22.67,1.670782996,-0.479893109,-0.550705229,-0.595114078,4.994942966,-0.027130191,-0.059552641,-0.567983886,UPC
12,25,a197,17.75,Male,22,196,27,13,69,28,62,34,23,68,55,121.33,70.67,29,-0.602022427,-1.822962398,-0.493896176,-1.033794334,-2.105057034,-0.67515993,-0.870217673,-0.358634403,NSC
13,27,a197,23.71,Male,53,222,52,25,128,32,76,45,34,95,53,148.57,96.92,39.73,1.897290956,1.084522427,1.603751013,1.824372936,3.854942966,1.457421564,1.797575395,0.366951372,NSC
14,30,a197,18.44,Female,43,198,41,23,110,29,69,34,27,89,50,122.67,77.33,22.33,-0.003117403,0.391601268,-0.375794034,-1.033794334,-1.415057034,-0.197516332,-0.272700399,-0.836278002,UPC
15,31,a197,22.55,Male,49,220,51,28,148,32,74,44,31,93,56,164.21,99.47,44.55,2.047289544,2.304387242,1.392534331,1.518279674,2.694942966,1.493379358,1.842557476,0.024900316,EAC
16,32,a197,20.23,Male,32,165,33,15,84,27,62,33,20,74,52,122.67,60,22.67,-0.87674548,-1.528632788,-1.69996795,-1.240230528,0.374942966,-1.314257778,-1.669709186,0.074027249,EPC
17,33,a197,19.13,Female,26,162,35,20,96,24,64,29,15,85,49,116,57.33,13,-1.167742403,-0.479893109,-1.769054728,-1.982409255,-0.725057034,-1.276651018,-1.622664301,-0.705758237,EPC
18,35,a197,21.55,Female,17,180,32,9,74,11,53,35,23,79,48,98.67,16,16.67,-2.508633674,-2.229631064,-1.244365245,-0.818789783,1.694942966,-1.330008815,-1.689413243,0.511219032,EPC
19,36,a197,17.19,Female,34,193,39,17,90,30,71,34,26,84,51,126.67,85.12,33.49,0.491594575,-1.165620368,-0.659991859,-1.033794334,-2.665057034,-0.548074744,-0.711238061,-0.485719589,NSC
20,37,a197,22.3,Female,33,209,38,21,100,31,75,37,24,73,52,118.67,77.33,32,0.7019997,-0.210920598,0.391475369,-0.362666052,2.444942966,0.36592739,0.432150159,-0.728593443,UPC
21,39,a197,18.18,Female,30,168,29,17,83,10,45,32,23,71,52,84,8,19,-2.864145649,-1.165620368,-1.624237048,-1.438202875,-1.675057034,-1.541347034,-1.953790777,0.103144159,EPC
22,40,a197,16.63,Female,24,178,28,15,75,24,63,32,20,63,55,122.67,60,18.67,-1.056490952,-1.528632788,-1.317132734,-1.438202875,-3.225057034,-1.208490719,-1.537397888,-0.229712156,EPC
23,41,a197,23.17,Male,34,205,30,21,85,30,70,42,24,76,55,106.67,77.33,25.33,-0.04282281,-0.210920598,0.088003439,0.934593585,3.314942966,0.110053329,0.112059673,0.824540256,UGC
24,42,a197,21.09,Female,27,183,29,23,92,29,65,32,23,89,52,78.67,70.67,23.67,-0.973646787,0.391601268,-1.127274515,-1.438202875,1.234942966,-0.700121548,-0.90144388,-0.738081327,UPC
25,43,a197,18.94,Female,25,193,33,17,88,27,65,33,24,73,48,114.67,70.67,24,-0.689575187,-1.165620368,-0.659991859,-1.240230528,-0.915057034,-0.661396003,-0.852999428,-0.578834526,UPC
26,45,a197,21.73,Female,18,180,28,24,83,28,64,37,26,71,51,117.33,41.33,21.33,-1.083327063,0.726444066,-1.244365245,-0.362666052,1.874942966,-0.720084782,-0.926417264,0.35741873,NSC
27,47,a197,19.58,Female,26,178,26,18,81,28,65,35,21,64,46,117.33,58.67,19.67,-0.762575755,-0.956566383,-1.317132734,-0.818789783,-0.275057034,-1.01120611,-1.290600983,0.192416327,EPC
28,50,a197,18.92,Female,42,213,43,22,112,32,74,37,28,89,53,168.65,105.45,33.26,2.263129045,0.07936044,0.725784687,-0.362666052,-0.935057034,0.72450023,0.88071362,-1.087166283,UPC
29,51,a197,23.03,Male,13,202,40,17,95,29,68,38,27,74,50,128,61.33,24,-0.274021542,-1.165620368,-0.120768691,-0.121346107,3.174942966,-0.180795251,-0.251782847,0.059449144,EAC
30,52,a197,18.32,Male,42,216,47,25,131,29,74,43,32,94,55,106.67,84.55,31,0.261522967,1.084522427,0.99823297,1.221716636,-1.535057034,0.738924926,0.898758466,0.48279171,NSC
31,54,a197,23.66,Male,36,209,37,21,94,32,73,40,27,83,55,143.72,83.72,22,1.264114462,-0.210920598,0.391475369,0.388300498,3.804942966,0.477633489,0.571891012,-0.089332991,EAC
32,55,a197,18.08,Female,53,222,44,26,124,32,75,45,31,81,56,146.9272428,80.45454545,46.49006623,1.428127778,1.466461809,1.603751013,1.824372936,-1.775057034,1.299090377,1.599508008,0.52528256,UGC
33,56,a197,18.67,Male,51,220,49,24,133,29,76,45,32,94,55,173.33,88.5,38.43,1.660431308,0.726444066,1.392534331,1.824372936,-1.185057034,1.11858118,1.373696622,0.705791756,UGC
34,61,a197,22.6,Female,30,213,43,24,114,31,74,41,25,85,53,137.33,81.33,28,0.994454762,0.726444066,0.725784687,0.656819093,2.744942966,0.740581235,0.900830456,-0.083762141,EAC
35,62,a197,18.49,Male,37,209,35,18,87,28,63,36,30,81,55,116,52,18.33,-0.97773426,-0.956566383,0.391475369,-0.595114078,-1.365057034,-0.065309532,-0.107313807,-0.529804546,UPC
36,65,a197,22.06,Female,45,204,40,12,87,32,74,40,27,92,55,126.67,76,35.42,0.909793033,-1.946218157,0.016678043,0.388300498,2.204942966,-0.074833196,-0.119227615,0.463133695,NSC
37,68,a197,22.82,Female,38,208,36,23,95,31,72,38,27,79,53,141.82,90,33.41,1.086428707,0.391601268,0.312809657,-0.121346107,2.964942966,0.469446798,0.561649715,-0.590792905,UPC
38,70,a197,24.9,Male,32,193,36,19,89,30,70,33,28,91,55,125.33,81.33,26.33,0.325275828,-0.728217989,-0.659991859,-1.240230528,5.044942966,-0.306298561,-0.408783581,-0.933931967,UPC
39,71,a197,23.43,Female,45,210,39,18,91,28,67,41,30,82,54,162.2,76,32,0.41393548,-0.956566383,0.472067731,0.656819093,3.574942966,0.300034928,0.34972074,0.356784165,NSC
40,72,a197,21.34,Male,32,197,31,20,84,26,64,36,22,81,53,96,70.67,25.33,-1.093566049,-0.479893109,-0.435602776,-0.595114078,1.484942966,-0.425123149,-0.557429442,-0.169990929,NSC
41,73,a197,22,Female,46,207,37,18,89,31,72,38,26,85,53,116,77.33,26.67,0.407789243,-0.956566383,0.236033425,-0.121346107,2.144942966,0.122877893,0.128102804,-0.244224001,NSC
42,76,a197,18.16,Male,16,154,25,16,72,32,63,32,22,74,49,116,79.43,18.33,0.150456178,-1.35607372,-1.924344744,-1.438202875,-1.695057034,-1.337854978,-1.699228549,-0.100347898,EPC
43,77,a197,24.07,Female,21,196,38,20,93,24,73,36,27,73,54,118.67,68,26,-0.402107021,-0.479893109,-0.493896176,-0.595114078,4.214942966,-0.29410376,-0.393528265,-0.301010317,NSC
44,78,a197,19.8,Female,13,151,24,16,75,28,61,30,21,49,44,88,48,16.33,-1.518048367,-1.35607372,-1.972949899,-1.809183084,-0.055057034,-1.548404756,-1.962619768,-0.260778328,EPC
45,79,a197,20.64,Female,37,195,41,21,104,30,72,39,28,80,54,109.33,73.33,22,0.060173975,-0.210920598,-0.550705229,0.128943857,0.784942966,-0.317890874,-0.423285204,0.44683473,NSC
46,80,a197,20.66,Male,49,166,30,16,82,16,55,29,24,56,51,106.67,53.33,19.67,-1.837506849,-1.35607372,-1.675486859,-1.982409255,0.804942966,-1.394131328,-1.769628512,-0.588277927,EPC
47,81,a197,19.36,Male,23,171,34,16,88,26,60,36,25,64,52,90.67,46.67,19.33,-1.721654898,-1.35607372,-1.541358231,-0.595114078,-0.495057034,-1.333957861,-1.694353378,0.738843784,EPC
48,82,a197,19.28,Female,39,191,38,20,100,30,67,37,26,74,51,108,70.67,22,-0.326637719,-0.479893109,-0.763701079,-0.362666052,-0.575057034,-0.568611878,-0.736929376,0.205945826,NSC
49,83,a197,23.83,Female,43,218,44,25,119,30,75,43,30,95,55,138.67,89.6,40.55,1.108697145,1.084522427,1.190810228,1.221716636,3.974942966,1.111574858,1.364931931,0.110141778,EAC
50,84,a197,21.01,Female,24,180,27,13,74,19,59,36,22,80,53,96,36,18.33,-2.127761907,-1.822962398,-1.244365245,-0.595114078,1.154942966,-1.23603916,-1.57186013,0.640925083,EPC
51,85,a197,21.73,Female,36,209,45,21,111,30,74,38,26,88,55,126.67,73.33,34.13,0.493254333,-0.210920598,0.391475369,-0.121346107,1.874942966,0.322733098,0.378115444,-0.444079205,NSC
52,86,a197,21.64,Female,36,169,25,22,86,28,65,33,25,89,49,118.67,56,19.67,-0.787275539,0.07936044,-1.597430673,-1.240230528,1.784942966,-0.980252291,-1.251878719,-0.259978238,EPC
53,87,a197,22.56,Male,49,213,39,27,120,25,69,43,31,86,54,124,53.33,28.33,-0.797962145,1.87287995,0.725784687,1.221716636,2.704942966,0.657685184,0.797130077,0.564031452,UGC
54,88,a197,22.61,Male,NA,218,41,22,101,32,74,39,31,93,53,133.33,74.67,31.67,0.993128706,0.07936044,1.190810228,0.128943857,2.754942966,0.923466213,1.129613871,-0.794522356,UPC
55,89,a197,17.37,Female,46,180,31,14,75,27,60,36,22,79,54,110.67,61.33,19.33,-1.104026544,-1.684017479,-1.244365245,-0.595114078,-2.485057034,-1.174363242,-1.494705477,0.579249164,EPC
56,91,a197,21.92,Female,35,188,34,21,95,27,69,35,26,72,54,117.33,61.33,26,-0.609389425,-0.210920598,-0.909310483,-0.818789783,2.064942966,-0.58518992,-0.75766799,-0.233599863,NSC
57,94,a197,22.08,Female,42,219,47,23,119,30,74,39,32,91,54,154.5,76.36,36.3,1.025674758,0.391601268,1.290507542,0.128943857,2.224942966,1.016060586,1.24544655,-0.887116729,UPC
58,95,a197,23.31,Male,35,206,35,23,100,30,72,36,25,82,56,155.77,90,38.4,1.162494545,0.391601268,0.161110048,-0.595114078,3.454942966,0.403514329,0.479170249,-0.998628407,UPC
59,98,a197,22.16,Male,27,190,35,17,89,28,63,35,22,55,52,106.67,66.67,25.67,-0.864736964,-1.165620368,-0.81353662,-0.818789783,2.304942966,-0.690391616,-0.889272038,-0.128398167,EAC
60,99,a197,23.9,Male,17,158,31,14,79,30,64,30,21,79,50,117.33,69.33,28,-0.348870759,-1.684017479,-1.851654918,-1.809183084,4.044942966,-1.257110228,-1.59821938,-0.552072856,EPC
61,100,a197,18.07,Female,45,193,41,26,122,29,66,38,25,95,55,133.33,83.59,29.33,0.132349538,1.466461809,-0.659991859,-0.121346107,-1.785057034,-0.205823869,-0.283092869,0.084477761,EAC
62,102,a197,19.4,Male,45,215,39,25,113,30,75,40,30,93,55,113.33,72,37.45,0.348134948,1.084522427,0.905268994,0.388300498,-0.455057034,0.724463433,0.880667588,-0.336162935,NSC
63,103,a197,20.91,Male,53,212,43,25,117,29,73,42,31,90,55,118.67,52,27.33,-0.240819713,1.084522427,0.639183836,0.934593585,1.054942966,0.528452248,0.635463697,0.406141337,NSC
64,105,a197,18.09,Female,45,196,40,21,105,29,68,37,27,82,55,82.67,57.33,35.71,-1.0108422,-0.210920598,-0.493896176,-0.362666052,-1.765057034,-0.496270959,-0.646433137,0.133604906,EAC
65,108,a197,21.86,Female,23,153,31,20,89,26,55,36,21,70,54,89.33,21.33,19.67,-2.198373134,-0.479893109,-1.941085045,-0.595114078,2.004942966,-1.444884464,-1.833119105,0.849770387,EPC
66,110,a197,17.96,Female,28,204,37,18,94,30,71,43,30,75,56,129.33,76,23.33,0.352609313,-0.956566383,0.016678043,1.221716636,-1.895057034,-0.119869014,-0.175566021,1.34158565,UGC
67,111,a197,23.55,Male,39,211,47,17,109,28,73,40,28,87,56,137.33,70.67,28.33,0.269594001,-1.165620368,0.554624462,0.388300498,3.694942966,0.30301568,0.353449568,0.085284818,EAC
68,112,a197,23.62,Male,39,204,42,25,116,31,70,42,28,84,54,117.33,65.33,26.33,0.061028441,1.084522427,0.016678043,0.934593585,3.764942966,0.274930847,0.318316316,0.659662738,UGC
69,117,a197,22.02,Female,41,223,50,23,129,28,74,42,30,92,54,181.24,78.04,50.26,1.291134072,0.391601268,1.713029781,0.934593585,2.164942966,1.29850537,1.598776183,-0.363911785,NSC
70,118,a197,21.35,Male,43,216,39,19,98,28,74,43,31,90,56,137.33,74.67,37.45,0.429917137,-0.728217989,0.99823297,1.221716636,1.494942966,0.588351222,0.710395449,0.633365414,UGC
71,119,a197,19.96,Female,24,190,35,20,96,26,68,36,27,63,53,110.67,30.67,25.67,-1.327218865,-0.479893109,-0.81353662,-0.595114078,0.104942966,-0.715024456,-0.920086954,0.119910379,EAC
72,120,a197,21.58,Female,41,200,37,20,97,28,71,36,31,94,55,137.33,83.92,36,0.377991246,-0.479893109,-0.251504124,-0.595114078,1.724942966,-0.112031484,-0.165761515,-0.483082593,NSC
73,121,a197,19.65,Male,38,212,43,23,114,29,74,42,30,85,56,122.67,62.67,28,0.088661855,0.391601268,0.639183836,0.934593585,-0.205057034,0.442963678,0.528520157,0.491629907,NSC
74,122,a197,23.2,Female,45,209,44,27,128,30,72,41,31,96,54,112,72,38.43,0.075197568,1.87287995,0.391475369,0.656819093,3.344942966,0.596027013,0.719997625,0.06079208,EAC
75,123,a197,21.53,Female,43,210,31,23,94,31,72,41,29,95,55,108,56,28.33,-0.104080547,0.391601268,0.472067731,0.656819093,1.674942966,0.368316491,0.43513885,0.288502602,NSC
76,124,a197,20.42,Male,43,213,39,23,105,32,73,44,27,95,55,151.13,77.33,32,1.265709251,0.391601268,0.725784687,1.518279674,0.564942966,0.672996447,0.816283991,0.845283227,UGC
77,125,a197,22.21,Female,40,223,48,24,125,31,76,43,31,95,55,130.67,78.67,35.21,1.017504272,0.726444066,1.713029781,1.221716636,2.354942966,1.313336582,1.617329567,-0.091619946,EAC
78,126,a197,24.91,Female,39,204,42,20,104,31,72,40,27,91,54,126.67,72,32.67,0.473828108,-0.479893109,0.016678043,0.388300498,5.054942966,0.14617739,0.157249749,0.242123108,NSC
79,127,a197,20.56,Male,48,205,46,27,131,30,76,43,29,92,56,148.11,91.29,32.67,1.403337558,1.87287995,0.088003439,1.221716636,0.704942966,0.527472769,0.634238399,0.694243867,UGC
80,128,a197,19.22,Male,47,215,45,22,117,28,74,41,27,92,55,155.51,100.61,32.67,1.284380952,0.07936044,0.905268994,0.656819093,-0.635057034,0.705727607,0.857229653,-0.048908514,EAC
81,130,a197,20.24,Female,38,203,46,21,113,30,71,40,27,86,55,100,74.67,24.33,-0.124197056,-0.210920598,-0.052901166,0.388300498,0.384942966,-0.060899721,-0.10179727,0.449200219,NSC
82,131,a197,20.81,Male,54,216,43,26,122,30,76,43,31,90,55,138.67,76,38.8,0.930147149,1.466461809,0.99823297,1.221716636,0.954942966,0.948116335,1.160450407,0.273600301,NSC
83,132,a197,19.07,Female,37,218,47,25,131,29,76,44,31,96,54,140.6,68,44.89,0.667677226,1.084522427,1.190810228,1.518279674,-0.785057034,0.926629809,1.133571432,0.591649865,UGC
84,133,a197,22.58,Female,45,216,48,26,133,31,76,42,28,94,54,137.33,77.33,40.55,1.101888825,1.466461809,0.99823297,0.934593585,2.724942966,1.017933851,1.247789946,-0.083340266,EAC
85,134,a197,21.17,Female,47,206,41,20,102,25,68,39,25,92,52,121.33,68,32.67,-0.641834474,-0.479893109,0.161110048,0.128943857,1.314942966,-0.018112505,-0.048271796,0.147056362,EAC
86,136,a197,23.14,Male,44,222,50,25,135,31,75,45,30,91,56,1.67,100.22,46.67,-0.062389919,1.084522427,1.603751013,1.824372936,3.284942966,1.177891401,1.447891862,0.646481535,UGC
87,138,a197,20.36,Female,29,204,38,25,109,27,70,37,28,90,54,125.33,70.67,31.33,-0.249551711,1.084522427,0.016678043,-0.362666052,0.504942966,0.14711449,0.158422032,-0.509780543,UPC
88,141,a197,17.1,Male,11,188,36,20,97,30,67,37,23,93,52,118.67,60,26.67,-0.356948667,-0.479893109,-0.909310483,-0.362666052,-2.755057034,-0.715675051,-0.920900828,0.353008999,NSC
